ticker,percent
LKOH,14.85
SBER,13.22
GAZP,10.32
TATN,6.65
GMKN,4.52
NVTK,3.61
TCSG,3.26
SNGSP,3.22
SNGS,3.12
PLZL,2.55
SBERP,2.55
ROSN,2.24
CHMF,2.02
PIKK,1.62
OZON,1.52
NLMK,1.52
RUAL,1.40
IRAO,1.34
MGNT,1.26
MAGN,1.24
MTSS,1.23
MOEX,1.20
ALRS,1.20
TATNP,1.19
FIVE,1.07
RTKM,0.97
AGRO,0.82
VTBR,0.80
AFLT,0.80
AFKS,0.76
POSI,0.73
VKCO,0.73
PHOR,0.69
CBOM,0.64
TRNFP,0.63
FLOT,0.56
BSPB,0.45
FEES,0.40
MTLR,0.40
ENPG,0.39
MSNG,0.34
GLTR,0.29
SMLT,0.29
MTLR,0.27
SELG,0.26
UPRO,0.26
LEAS,0.23
HYDR,0.22
SGZH,0.17
